example_id                                                                                 | status | run_time        |
------------------------------------------------------------------------------------------ | ------ | --------------- |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:1:1:1]   | passed | 0.03003 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:1:2:1]   | passed | 0.01767 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:2:1:1]   | passed | 0.17497 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:3:1:1]   | passed | 0.01728 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:3:2:1]   | passed | 0.01672 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:1:1]   | failed | 0.05401 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:2:1]   | passed | 0.03491 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:2:2:1] | passed | 0.01785 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:3:1:1] | passed | 0.01794 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:3:2:1] | passed | 0.02624 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:4:1:1] | passed | 0.01764 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:4:2:1] | passed | 0.0169 seconds  |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:5:1:1] | passed | 0.06276 seconds |
./spec/models/sponsored_benefits/organizations/plan_design_organization_spec.rb[1:4:5:2:1] | passed | 0.0249 seconds  |
